Nombre de bornes disponibles;Nombre vélo en PARK+;Nombres de bornes en station;PARK + activation;densityLevel;Achat possible en station (CB);Description station;maxBikeOverflow;Etat du Totem;nbFreeDock;Nombre de vélo mécanique;PARK +;nbDock;Nombre vélo électrique;Nombre vélo en PARK+;Code de la station;Nom de la station;Etat des stations;Type de stations;geo;duedate
22;0;23;no;1;yes;"{""code"": ""5110"", ""name"": ""Lacépède - Monge"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529654488, ""gps"": {""latitude"": 48.84389286531899, ""longitude"": 2.3519663885235786}}";0;yes;0;0;no;0;1;0;5110;Lacépède - Monge;Operative;yes;6860622.48571,652440.286493;2018-06-22
10;0;17;no;1;no;"{""code"": ""6108"", ""name"": ""Saint-Romain - Cherche-Midi"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529659445, ""gps"": {""latitude"": 48.84708159081946, ""longitude"": 2.321374788880348}}";0;yes;0;6;no;0;1;0;6108;Saint-Romain - Cherche-Midi;Operative;yes;6860995.8999,650198.245367;2018-06-22
22;0;31;no;1;no;"{""code"": ""33006"", ""name"": ""André Karman - République"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1546361972, ""gps"": {""latitude"": 48.91039875761846, ""longitude"": 2.3851355910301213}}";0;yes;0;6;no;0;3;0;33006;André Karman - République;Operative;yes;6867998.05607,654932.135488;2019-01-01
23;0;27;no;1;no;"{""code"": ""42016"", ""name"": ""Pierre et Marie Curie - Maurice Thorez"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1522706410, ""gps"": {""latitude"": 48.81580226360801, ""longitude"": 2.376804985105991}}";27;yes;0;0;no;0;4;0;42016;Pierre et Marie Curie - Maurice Thorez;Operative;yes;6857484.44924,654238.521674;2018-04-02
45;0;50;no;0;yes;"{""code"": ""41301"", ""name"": ""Bois de Vincennes - Gare"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529359231, ""gps"": {""latitude"": 48.836022242886884, ""longitude"": 2.4708339950830287}}";0;yes;0;3;no;0;2;0;41301;Bois de Vincennes - Gare;Operative;yes;6859682.31572,661158.066661;2018-06-18
11;0;25;no;1;yes;"{""code"": ""21010"", ""name"": ""Silly - Galliéni"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1546210829, ""gps"": {""latitude"": 48.835583838705936, ""longitude"": 2.2325500845909123}}";25;yes;0;11;no;0;3;0;21010;Silly - Galliéni;Operative;yes;6859777.17322,643667.501883;2018-12-30
10;0;20;no;1;yes;"{""code"": ""6021"", ""name"": ""Beaux-Arts - Bonaparte"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529654643, ""gps"": {""latitude"": 48.856451985395786, ""longitude"": 2.334851883351803}}";0;yes;0;9;no;0;1;0;6021;Beaux-Arts - Bonaparte;Operative;yes;6862029.38394,651196.031818;2018-06-22
20;0;22;no;0;yes;"{""code"": ""25006"", ""name"": ""Place Nelson Mandela "", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1553986800, ""gps"": {""latitude"": 48.862090937689715, ""longitude"": 2.196576297283173}}";0;yes;0;0;no;0;2;0;25006;Place Nelson Mandela;Operative;yes;6862750.72282,641057.02542;2019-03-30
25;0;25;no;1;yes;"{""code"": ""10152"", ""name"": ""Gare du Nord - Place de Valenciennes"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1558226507, ""gps"": {""latitude"": 48.879089, ""longitude"": 2.354235}}";0;yes;0;0;no;0;0;0;10152;Gare du Nord - Place de Valenciennes;Operative;yes;6864534.64281,652638.783996;2019-05-19
54;0;62;no;1;yes;"{""code"": ""17038"", ""name"": ""Grande Armée - Brunel"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1563141600, ""gps"": {""latitude"": 48.876116, ""longitude"": 2.288124}}";0;yes;0;2;no;0;6;0;17038;Grande Armée - Brunel;Operative;yes;6864245.74989,647787.265159;2019-07-14
12;0;18;no;1;no;"{""code"": ""7004"", ""name"": ""Raspail - Varenne"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529659808, ""gps"": {""latitude"": 48.85314781654488, ""longitude"": 2.3263905197381973}}";0;yes;0;3;no;0;3;0;7004;Raspail - Varenne;Operative;yes;6861667.25374,650572.076229;2018-06-22
16;0;17;no;1;no;"{""code"": ""5016"", ""name"": ""Thouin - Cardinal Lemoine"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529654260, ""gps"": {""latitude"": 48.84504716661511, ""longitude"": 2.3494647851273465}}";0;yes;0;0;no;0;0;0;5016;Thouin - Cardinal Lemoine;Operative;yes;6860752.34215,652257.753345;2018-06-22
12;0;44;no;1;yes;"{""code"": ""11025"", ""name"": ""Froment - Bréguet"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1545001200, ""gps"": {""latitude"": 48.8570414504784, ""longitude"": 2.37289470306807}}";48;yes;0;3;no;0;4;0;11025;Froment - Bréguet;Operative;yes;6862072.0869,653987.810879;2018-12-16
49;0;52;no;1;no;"{""code"": ""15047"", ""name"": ""Morillons - Dantzig"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1543334610, ""gps"": {""latitude"": 48.83310149953933, ""longitude"": 2.299380004405976}}";0;yes;0;2;no;0;1;0;15047;Morillons - Dantzig;Operative;yes;6859455.56464,648570.379899;2018-11-27
61;0;71;no;1;yes;"{""code"": ""15028"", ""name"": ""Grenelle - Dr Finlay"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1546210800, ""gps"": {""latitude"": 48.851315406715976, ""longitude"": 2.2919502854347233}}";71;yes;0;4;no;0;6;0;15028;Grenelle - Dr Finlay;Operative;yes;6861485.61746,648043.169632;2018-12-30
0;0;0;no;1;yes;"{""code"": ""17025"", ""name"": ""Chazelles - Courcelles "", ""state"": ""Operative"", ""type"": ""no"", ""dueDate"": 1521586817, ""gps"": {""latitude"": 48.879406604954, ""longitude"": 2.3034455627202988}}";35;yes;31;2;no;35;2;0;17025;Chazelles - Courcelles;Operative;no;6864601.61939,648914.227525;2018-03-20
28;0;34;no;1;yes;"{""code"": ""13101"", ""name"": ""Croulebarde - Corvisart"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1543615200, ""gps"": {""latitude"": 48.830981659316855, ""longitude"": 2.3481646925210953}}";34;yes;0;5;no;0;1;0;13101;Croulebarde - Corvisart;Operative;yes;6859189.19409,652149.4322;2018-11-30
40;0;44;no;1;yes;"{""code"": ""20143"", ""name"": ""Ramponeau - Belleville"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1545144207, ""gps"": {""latitude"": 48.871031137596006, ""longitude"": 2.3790568521139748}}";0;yes;0;1;no;0;3;0;20143;Ramponeau - Belleville;Operative;yes;6863624.05958,654452.165583;2018-12-18
14;0;21;no;1;no;"{""code"": ""14108"", ""name"": ""Le Brix et Mesmin - Jourdan"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1515020403, ""gps"": {""latitude"": 48.82234096593411, ""longitude"": 2.327861653302471}}";21;yes;1;4;no;1;3;0;14108;Le Brix et Mesmin - Jourdan;Operative;yes;6858240.94772,650650.86402;2018-01-03
32;0;38;no;1;no;"{""code"": ""31024"", ""name"": ""Romainville - Vaillant-Couturier"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1550530800, ""gps"": {""latitude"": 48.86785, ""longitude"": 2.446748}}";0;yes;0;4;no;0;2;0;31024;Romainville - Vaillant-Couturier;Operative;yes;6863233.41956,659414.927022;2019-02-18
14;0;20;no;0;yes;"{""code"": ""47007"", ""name"": ""Liberté - Vert-de-Maisons"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1550642400, ""gps"": {""latitude"": 48.79014780960843, ""longitude"": 2.43286281824112}}";0;yes;0;5;no;0;1;0;47007;Liberté - Vert-de-Maisons;Operative;yes;6854600.98557,658334.310626;2019-02-20
30;0;42;no;1;no;"{""code"": ""17044"", ""name"": ""Porte de Saint-Ouen - Bessières"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1561845600, ""gps"": {""latitude"": 48.89792240854517, ""longitude"": 2.32851451022192}}";0;yes;0;2;no;0;10;0;17044;Porte de Saint-Ouen - Bessières;Operative;yes;6866644.54295,650770.264495;2019-06-29
14;0;17;no;1;no;"{""code"": ""31702"", ""name"": ""Pierre et Marie Curie - Julien Grimau"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1540936740, ""gps"": {""latitude"": 48.870556555240725, ""longitude"": 2.424167096614838}}";0;yes;0;1;no;0;2;0;31702;Pierre et Marie Curie - Julien Grimau;Operative;yes;6863546.21339,657760.676424;2018-10-30
3;0;33;no;1;no;"{""code"": ""15026"", ""name"": ""Bir Hakeim"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1517356800, ""gps"": {""latitude"": 48.853844054333514, ""longitude"": 2.289705348222022}}";33;yes;0;18;no;0;11;0;15026;Bir Hakeim;Operative;yes;6861768.25757,647880.969329;2018-01-31
16;0;30;no;0;yes;"{""code"": ""44017"", ""name"": ""Jules Guesde - Pont du Port à l'Anglais"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1545746086, ""gps"": {""latitude"": 48.79628807093802, ""longitude"": 2.417212128639221}}";0;yes;0;8;no;0;6;0;44017;Jules Guesde - Pont du Port à l'Anglais;Operative;yes;6855292.06714,657189.565795;2018-12-25
0;0;0;no;1;no;"{""code"": ""19033"", ""name"": ""Cambrai - Benjamin Constant"", ""state"": ""Operative"", ""type"": ""no"", ""dueDate"": 1521154800, ""gps"": {""latitude"": 48.89594736851349, ""longitude"": 2.381133802246315}}";44;yes;25;8;no;43;9;0;19033;Cambrai - Benjamin Constant;Operative;no;6866393.40651,654626.226784;2018-03-15
0;0;0;no;1;yes;"{""code"": ""17048"", ""name"": ""De Toqueville - Terrasse"", ""state"": ""Operative"", ""type"": ""no"", ""dueDate"": 1557352800, ""gps"": {""latitude"": 48.882428, ""longitude"": 2.314002}}";30;yes;28;0;no;30;2;0;17048;De Toqueville - Terrasse;Operative;no;6864930.80029,649691.342895;2019-05-08
23;0;26;no;1;no;"{""code"": ""16118"", ""name"": ""Michel-Ange - Parent de Rosan"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1561683600, ""gps"": {""latitude"": 48.840579923690115, ""longitude"": 2.2584119439125065}}";26;yes;0;1;no;0;2;0;16118;Michel-Ange - Parent de Rosan;Operative;yes;6860314.54002,645570.979266;2019-06-28
6;0;26;no;1;yes;"{""code"": ""43002"", ""name"": ""Lagny - Victor Basch"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1523743200, ""gps"": {""latitude"": 48.84884147189881, ""longitude"": 2.426325418925233}}";26;yes;0;4;no;0;16;0;43002;Lagny - Victor Basch;Operative;yes;6861130.50898,657901.451593;2018-04-14
16;0;18;no;1;no;"{""code"": ""19027"", ""name"": ""Serrurier "", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1518649250, ""gps"": {""latitude"": 48.8804934032465, ""longitude"": 2.39806417375803}}";18;yes;0;0;no;0;2;0;19027;Serrurier;Operative;yes;6864665.40782,655854.396555;2018-02-14
21;0;25;no;1;no;"{""code"": ""21216"", ""name"": ""Louis Lejeune - Barbès"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1549894441, ""gps"": {""latitude"": 48.81807418981508, ""longitude"": 2.3267009854316716}}";0;yes;0;2;no;0;2;0;21216;Louis Lejeune - Barbès;Operative;yes;6857767.2622,650561.603252;2019-02-11
